,Unnamed: 0,Unnamed: 1,location,count,mean,lnglat,logcount,absmean
191,191,191,广西贺州,15,0.0,"111.56700007172056,24.40349954935634",21.664401608817677,0.0
192,192,192,广西钦州,57,0.2456140350877193,"108.65400009568154,21.980900473623034",32.344410142676395,0.6032625423207141
193,193,193,广西防城港,4,-0.75,"108.32800011848128,22.81529965342563",11.090354888959125,5.625
194,194,194,德国,14,-0.2857142857142857,"113.80691553101802,36.177636207546406",21.112458636922067,0.8163265306122448
195,195,195,德国巴伐利亚,38,0.6578947368421053,"113.80691553101802,36.177636207546406",29.100689277811085,4.328254847645431
196,196,196,德国巴登-符腾堡,1,-1.0,"113.80691553101802,36.177636207546406",0.0,10.0
197,197,197,德国石勒苏益格-荷尔斯泰因,1,1.0,"114.3183999703718,22.730089251358034",0.0,10.0
198,198,198,德国莱茵兰-普法尔茨,1,-1.0,"121.43802023440008,31.28000613634706",0.0,10.0
199,199,199,意大利威尼托,3,-0.3333333333333333,"0,0",8.788898309344878,1.1111111111111112
200,200,200,扎伊尔,2,-1.0,"0,0",5.545177444479562,10.0
201,201,201,文莱,2,1.0,"0,0",5.545177444479562,10.0
202,202,202,斯里兰卡,1,-1.0,"120.62884001700085,27.773570019505808",0.0,10.0
203,203,203,新加坡,46,-0.1956521739130435,"105.955309868483,26.252020367699785",30.62913117191276,0.38279773156899816
204,204,204,新疆,20,0.7,"87.62700014265192,43.79319971322935",23.96585818843193,4.8999999999999995
205,205,205,新疆乌鲁木齐,90,-0.1,"87.61800032897038,43.8245994219783",35.99847736264211,0.10000000000000002
206,206,206,新疆伊犁哈萨克自治州,17,0.2352941176470588,"81.32400028676794,43.91679969283624",22.665706752449733,0.5536332179930794
207,207,207,新疆克拉玛依,17,0.2352941176470588,"87.62700014265192,43.79319971322935",22.665706752449733,0.5536332179930794
208,208,208,新疆博尔塔拉蒙古自治州,2,-0.5,"82.0664996090521,44.906000506760186",5.545177444479562,2.5
209,209,209,新疆吐鲁番,8,0.25,"87.62700014265192,43.79319971322935",16.635532333438686,0.625
210,210,210,新疆和田地区,6,0.6666666666666666,"79.92210014210173,37.11419982323794",14.33407575382444,4.444444444444445
211,211,211,新疆哈密,8,0.0,"93.52281019545492,42.33864966924816",16.635532333438686,0.0
212,212,212,新疆喀什地区,17,0.5882352941176471,"75.98990003127757,39.4701000111745",22.665706752449733,3.4602076124567476
213,213,213,新疆图木舒克,3,-1.0,"87.62700014265192,43.79319971322935",8.788898309344878,10.0
214,214,214,新疆塔城地区,10,0.5,"82.98059985156108,46.745199526696595",18.420680743952367,2.5
215,215,215,新疆巴音郭楞蒙古自治州,11,-0.09090909090909093,"86.1452994409739,41.76410061175738",19.183162182386965,0.08264462809917358
216,216,216,新疆昌吉回族自治州,9,-0.2222222222222222,"87.30840029972191,44.01109955391505",17.577796618689757,0.49382716049382713
217,217,217,新疆石河子,6,0.0,"86.08029951253268,44.30610113760374",14.33407575382444,0.0
218,218,218,新疆阿克苏地区,9,0.4444444444444444,"80.26049960124337,41.16890050346461",17.577796618689757,1.9753086419753085
219,219,219,新疆阿勒泰地区,6,0.0,"88.14129998103142,47.84500073735244",14.33407575382444,0.0
220,220,220,新西兰,5,-0.4,"120.29363883027641,31.46809159009248",12.875503299472802,1.6000000000000003
221,221,221,新西兰惠灵顿,4,-0.5,"120.29363883027641,31.46809159009248",11.090354888959125,2.5
222,222,222,日本,31,-0.3225806451612903,"99.77213974271741,32.79259078017511",27.47189763588117,1.0405827263267429
223,223,223,日本兵库县,4,-1.0,"99.77213974271741,32.79259078017511",11.090354888959125,10.0
224,224,224,日本北海道,2,0.0,"123.45501924695792,41.84117814012939",5.545177444479562,0.0
225,225,225,日本新潟县,3,0.3333333333333333,"99.77213974271741,32.79259078017511",8.788898309344878,1.1111111111111112
226,226,226,日本福冈县,1,0.0,"121.46656039660479,31.230665795602178",0.0,0.0
227,227,227,智利圣地亚哥首都大区,1,0.0,"0,0",0.0,0.0
228,228,228,柬埔寨,5,0.2,"108.39359876564683,22.82148855046079",12.875503299472802,0.4000000000000001
229,229,229,比利时,3,-0.3333333333333333,"119.46420261127503,32.191639107558295",8.788898309344878,1.1111111111111112
230,230,230,江苏,20,-0.05,"118.76300031815032,32.06089911057974",23.96585818843193,0.025000000000000005
231,231,231,江苏南京,462,-0.08225108225108227,"118.7959997119601,32.05830027444024",49.08451912865391,0.06765240531474301
232,232,232,江苏南通,96,-0.2604166666666667,"120.89499950358734,31.980900352097297",36.51478553174269,0.6781684027777779
233,233,233,江苏宿迁,31,-0.06451612903225806,"118.76300031815032,32.06089911057974",27.47189763588117,0.04162330905306971
234,234,234,江苏常州,146,-0.03424657534246575,"119.97499985204028,31.80970026108385",39.868852973666684,0.011728279226871832
235,235,235,江苏徐州,232,-0.11206896551724138,"117.28399990062195,34.206901100781515",43.57389897333048,0.1255945303210464
236,236,236,江苏扬州,82,0.024390243902439025,"119.41300000356432,32.394399018056355",35.253753978114034,0.005948839976204641
